tracking_id,cluster,lat,lng
TLMKA00267830,0,101.675862,3.137711
TLMKA00247458,0,101.675713,3.136306
TLMKA00275563,0,101.675044,3.134188
TLMKA00249805,0,101.67507,3.133807
TLMKA00242238,0,101.677071,3.128918
TLMKA00246533,0,101.677515,3.127686
TLMKA00247054,0,101.68019,3.127774
TLMKA00263572,0,101.680327,3.128106
TLMKA00256753,0,101.682179,3.12923
TLMKA00264983,0,101.684002,3.130744
TLMKA00256791,0,101.687513,3.133749
TLMKA00264474,0,101.689507,3.136742
TLMKA00272022,0,101.691983,3.135447
TLMKA00243395,0,101.686241,3.121286
TL9295406443,0,101.681775,3.120351
TLWHA00026611,0,101.67622,3.121262
TLMKA00264708,0,101.675241,3.122279
TLMKA00248426,0,101.67532,3.125818
TLMKA00257428,0,101.670946,3.129626
TLMKA00251374,0,101.667529,3.131783
TLMKA00247928,0,101.668145,3.130495
TLMKA00246907,0,101.670078,3.128434
TLMKA00246982,0,101.670078,3.128434
TLMKA00259242,0,101.669556,3.124073
TLMKA00256479,0,101.669556,3.124073
TLMKA00242514,0,101.670409,3.124363
TLMKA00246261,0,101.671612,3.123343
